,user,posts
275,shhhijie,@aiting.ch @natalyngoh @fionquek83
276,esteeat,@jjjaywalker @scoobysha @cyzredward
277,shhhijie,@joanneyjm @rynette13 @sarahwyt
278,happytc89,I love @deliveroo_sg. This giveaway is perfect for me !. I really hope to win this $88 deliveroo credits to enjoy with my family for CNY. It’s the perfect opportunity for bonding with loved ones ❤ May the year of the ox bring more happiness and happy gourmet experiences @momo_album @toby.aa @ohfamily1122
279,happytc89,I love @deliveroo_sg. This giveaway is perfect for me !. I really hope to win this $88 deliveroo credits to enjoy with my family for CNY. It’s the perfect opportunity for bonding with loved ones ❤ May the year of the ox bring more happiness and happy gourmet experiences @ic_life8 @friendly_kat @john_wanderer
280,chew.cereal,"Deliveroo puts us in the moo-ood to welcome an ox-picious niu year by providing a feast for the senses! 🐮 Indulge your sense of sight admiring the intricately plated dishes. Indulge your sense of smell from the whiff of spices and flavours. Indulge your sense of touch as the warm fragrant steam caresses your face. Indulge your sense of sound with the familial family chatter. Finally, indulge your sense of taste in the finest culinary spread. Hearty food, heartening unions and heartwarming service, warm the depths of my heart and my tummy. Deliveroo always delivers! @chewsufen @ofanneventures @veekebabs 🍽😍😋"
281,chew.cereal,"@deliveroo_sg puts us in the moo-ood to welcome an ox-picious niu year by providing a feast for the senses! 🐮 Indulge your sense of sight admiring the intricately plated dishes. Indulge your sense of smell from the whiff of spices and flavours. Indulge your sense of touch as the warm fragrant steam caresses your face. Indulge your sense of sound with the familial family chatter. Finally, indulge your sense of taste in the finest culinary spread. Hearty food, heartening unions and heartwarming service, warm the depths of my heart and my tummy. Deliveroo always delivers!@ernestwyy @mursjid @thereal_meowsyy 🍽😍😋"
282,charcharla,For dinner before mj 👅👅 @hellojolz @vanquishkim @lesterchmz
283,seowtaitai,@dwellingsbyjune @jennyfong80 @lin_nails_90
284,wenfong_,@whitejadeting_ @kuayweeliang @boonhuey 😘
285,ysogeniuslah,@prettykitbit @kathy_zzy @jumaanahx
286,jennyfong80,@dwellingsbyjune @junetanweilin @seowtaitai
287,seowtaitai,@bart.tan.3 @tanchelsia @junetanweilin
288,seowtaitai,@_eileenlaw @littlekydion @_kassie89
289,hoi7012,@gohyta @kanni @yuksiuchan
290,seowtaitai,@chuaxueting2412 @jessicachen9090 @wendytan833
291,danialmok,national day outfit for #helloilhan. paying tribute to the wonderful frontliners during this covid-19 period.mat ilhan the cute deliveroo rider 😘
292,danialmok,#helloilhan #frontliners #covid19 #deliveroo #deliveroosg
293,furyboy82,@danialmok send delivery ke 😆 💪🏼💪🏼💪🏼
294,danialmok,@furyboy82 hahaha uncle ada order makan pepagi ni ? 🤣
295,noviahartanti,So cute Ilhan😍😂
296,danialmok,@noviahartanti auntie novi you ordered breakfast? 😉
297,im_agent_orange,Big boy deliveroo sneakers 👟 only in future..
298,danialmok,@im_agent_orange hahhaa 👍🏻
299,madtweet,Please send menu for Ilhan delivery! 😘
300,danialmok,@madtweet coming right up auntie maddy! 😉
301,crispycalimari,TOO ADORABLE!!! I’ll order from him every day!!!
302,danialmok,@crispycalimari ❤️❤️❤️
303,fadlyhamzah,mana kau dapat t shirt dia bro
304,danialmok,@fadlyhamzah aku beli the tshirt at uniqlo...aku diy the logo and tampal to the tshirt
305,fadlyhamzah,@danialmok power lah. DIY
